annotation,start,end,duration,type
Partic_RT,1667363737.785031,1667363738.985031,1.1999998092651367,art
Partic_RC,1667363737.785031,1667363738.825031,1.0399999618530273,ba
Partic_MID,1667363737.785031,1667363738.785031,1,ba
Partic_LT,1667363737.789031,1667363738.869031,1.0799999237060547,art
Partic_LC,1667363737.789031,1667363738.789031,1,ba
Partic_RT,1667363913.721031,1667363914.721031,1,art
Partic_MID,1667364223.409031,1667364224.409031,1,ba
Partic_RC,1667364223.413031,1667364224.413031,1,ba
Partic_RC,1667364479.117031,1667364480.237031,1.119999885559082,art
Partic_MID,1667364479.117031,1667364480.237031,1.119999885559082,art
Partic_LC,1667364479.181031,1667364480.181031,1,art
Partic_RT,1667364619.665031,1667364620.705031,1.0399999618530273,art
Partic_LT,1667364619.797031,1667364620.797031,1,art
Partic_RC,1667364619.809031,1667364620.809031,1,art
Partic_MID,1667364619.813031,1667364620.813031,1,art
Partic_MID,1667364814.813031,1667364815.813031,1,ba
Partic_RC,1667364814.817031,1667364815.817031,1,ba
Partic_LC,1667364814.821031,1667364815.821031,1,ba
Partic_RC,1667364838.529031,1667364839.529031,1,art
Partic_MID,1667364838.529031,1667364839.529031,1,art
Partic_LC,1667364838.533031,1667364839.533031,1,art
Partic_RC,1667365192.973031,1667365193.973031,1,ba
Partic_MID,1667365192.977031,1667365193.977031,1,ba
Partic_LC,1667365193.037031,1667365194.037031,1,ba
Partic_RT,1667365394.205031,1667365395.365031,1.1600000858306885,art
Partic_RC,1667365985.429031,1667365986.469031,1.0400002002716064,spi
Partic_MID,1667365985.429031,1667365986.469031,1.0400002002716064,spi
Partic_LC,1667365985.433031,1667365986.433031,1,spi
Partic_RC,1667366005.961031,1667366006.961031,1,spi
Partic_MID,1667366005.961031,1667366006.961031,1,spi
Partic_LC,1667366006.033031,1667366007.073031,1.0399999618530273,spi
Partic_RC,1667366099.921031,1667366101.201031,1.2799999713897705,spi
Partic_MID,1667366099.941031,1667366101.181031,1.2400000095367432,spi
Partic_LC,1667366099.945031,1667366101.105031,1.1600000858306885,spi
Partic_RT,1667366099.993031,1667366101.113031,1.119999885559082,spi
Partic_LT,1667366100.045031,1667366101.165031,1.119999885559082,spi
Partic_RC,1667366117.545031,1667366118.545031,1,spi
Partic_MID,1667366117.545031,1667366118.545031,1,spi
Partic_LC,1667366117.653031,1667366118.653031,1,spi
Partic_MID,1667366121.641031,1667366122.641031,1,spi
Partic_RC,1667366121.645031,1667366122.645031,1,spi
Partic_MID,1667366126.193031,1667366127.193031,1,spi
Partic_RC,1667366126.225031,1667366127.265031,1.0400002002716064,spi
Partic_LC,1667366126.277031,1667366127.277031,1,spi
Partic_RC,1667366183.289031,1667366184.289031,1,spi
Partic_MID,1667366183.289031,1667366184.289031,1,spi
Partic_RC,1667366195.745031,1667366196.745031,1,spi
Partic_MID,1667366195.745031,1667366196.745031,1,spi
Partic_LC,1667366195.789031,1667366196.789031,1,spi
Partic_RC,1667366211.013031,1667366212.013031,1,spi
Partic_MID,1667366211.017031,1667366212.017031,1,spi
Partic_LC,1667366211.025031,1667366212.025031,1,spi
Partic_LC,1667366233.773031,1667366234.973031,1.2000000476837158,spi
Partic_RC,1667366233.773031,1667366235.053031,1.2799999713897705,spi
Partic_MID,1667366233.773031,1667366235.053031,1.2799999713897705,spi
Partic_RT,1667366234.029031,1667366235.029031,1,spi
Partic_LC,1667366240.805031,1667366241.805031,1,spi
Partic_RC,1667366240.805031,1667366241.805031,1,spi
Partic_MID,1667366240.805031,1667366241.805031,1,spi
Partic_RC,1667366243.693031,1667366244.693031,1,spi
Partic_MID,1667366243.693031,1667366244.693031,1,spi
Partic_RC,1667366253.613031,1667366254.613031,1,spi
Partic_MID,1667366253.621031,1667366254.621031,1,spi
Partic_MID,1667366272.093031,1667366273.093031,1,spi
Partic_RC,1667366272.097031,1667366273.097031,1,spi
Partic_RC,1667366277.405031,1667366278.525031,1.1200001239776611,spi
Partic_MID,1667366277.437031,1667366278.477031,1.0399999618530273,spi
Partic_LC,1667366277.617031,1667366278.617031,1,spi
Partic_RC,1667366360.445031,1667366361.445031,1,spi
Partic_MID,1667366360.445031,1667366361.445031,1,spi
Partic_LC,1667366360.449031,1667366361.449031,1,spi
Partic_RT,1667366360.529031,1667366361.529031,1,spi
Partic_RC,1667366419.573031,1667366420.573031,1,spi
Partic_MID,1667366419.573031,1667366420.573031,1,spi
Partic_RC,1667366437.981031,1667366438.981031,1,spi
Partic_MID,1667366437.981031,1667366438.981031,1,spi
Partic_RC,1667366511.641031,1667366512.681031,1.0399999618530273,spi
Partic_MID,1667366511.645031,1667366512.685031,1.0399999618530273,spi
Partic_LC,1667366511.717031,1667366512.717031,1,spi
Partic_RT,1667366511.789031,1667366512.789031,1,spi
Partic_RC,1667366523.845031,1667366524.845031,1,ba
Partic_MID,1667366523.849031,1667366524.849031,1,ba
Partic_LC,1667366523.949031,1667366524.949031,1,ba
Partic_LC,1667366537.109031,1667366538.109031,1,spi
Partic_MID,1667366537.113031,1667366538.113031,1,spi
Partic_RC,1667366537.117031,1667366538.117031,1,spi
Partic_RC,1667366589.985031,1667366591.225031,1.2400000095367432,spi
Partic_MID,1667366589.985031,1667366591.225031,1.2400000095367432,spi
Partic_LC,1667366590.053031,1667366591.093031,1.0399999618530273,spi
Partic_RC,1667366594.161031,1667366595.841031,1.6800000667572021,spi
Partic_MID,1667366594.161031,1667366595.841031,1.6800000667572021,spi
Partic_LC,1667366594.189031,1667366595.829031,1.6400001049041748,spi
Partic_RT,1667366594.445031,1667366595.445031,1,spi
Partic_LT,1667366594.513031,1667366595.633031,1.119999885559082,spi
Partic_MID,1667366606.405031,1667366607.405031,1,spi
Partic_RC,1667366606.409031,1667366607.409031,1,spi
Partic_RC,1667366670.765031,1667366671.765031,1,spi
Partic_MID,1667366670.765031,1667366671.765031,1,spi
Partic_RC,1667366676.133031,1667366677.133031,1,spi
Partic_MID,1667366676.133031,1667366677.133031,1,spi
Partic_RC,1667366687.701031,1667366688.901031,1.2000000476837158,spi
Partic_MID,1667366687.701031,1667366688.901031,1.2000000476837158,spi
Partic_LC,1667366687.709031,1667366688.909031,1.1999998092651367,spi
Partic_RC,1667366708.381031,1667366709.381031,1,spi
Partic_MID,1667366708.381031,1667366709.381031,1,spi
Partic_LC,1667366708.457031,1667366709.457031,1,spi
Partic_RC,1667366720.893031,1667366722.133031,1.2400000095367432,spi
Partic_MID,1667366720.929031,1667366722.049031,1.1200001239776611,spi
Partic_LC,1667366721.025031,1667366722.025031,1,spi
Partic_RC,1667366738.977031,1667366739.977031,1,spi
Partic_MID,1667366738.981031,1667366739.981031,1,spi
Partic_LC,1667366739.049031,1667366740.049031,1,spi
Partic_RC,1667366746.925031,1667366747.965031,1.0399999618530273,spi
Partic_MID,1667366746.925031,1667366747.965031,1.0399999618530273,spi
Partic_LC,1667366746.989031,1667366747.989031,1,spi
Partic_RC,1667366756.557031,1667366757.557031,1,spi
Partic_MID,1667366756.557031,1667366757.557031,1,spi
Partic_RC,1667366770.345031,1667366771.665031,1.3199999332427979,spi
Partic_MID,1667366770.345031,1667366771.665031,1.3199999332427979,spi
Partic_LC,1667366770.373031,1667366771.653031,1.2800002098083496,spi
Partic_RT,1667366770.477031,1667366771.597031,1.1200001239776611,spi
