Start,End
1658299051.7519064,1658299052.5683126
1658299057.5136251,1658299058.4198751
1658299065.9355001,1658299066.4120626
1667378492.6912498,1667378494.2498436
1667378496.1717186,1667378498.1131248
1667378500.1990623,1667378501.2029686
1667378501.6873436,1667378502.1209373
1667378503.0740623,1667378504.4178123
1667378505.0271873,1667378506.1053123
1667378517.054531,1667378518.320156
1683287210.5073438,1683287211.2925
1683287212.6010938,1683287212.7885938
1683287214.7885938,1683287215.4448438
1683287216.6167188,1683287217.63625
1683287228.23,1683287229.0659375
1683287230.5229688,1683287231.4135938
1683287235.2378125,1683287235.995625
1658301893.2831564,1658301894.1894064
1658301906.634719,1658301907.8495626
1576658137.7494998,1576658138.9018435
1576658142.1518435,1576658142.7768435
1576658155.2494998,1576658155.269031
1576658160.097156,1576658160.128406
1576658162.065906,1576658163.0268435
1576658165.7494998,1576658166.5932498
1576559587.3237185,1576559588.6010623
1576559592.847156,1576559594.2338748
1576559597.0541873,1576559598.2104373
1576559603.065906,1576559604.1166873
1576559607.9604373,1576559609.597156
1576559610.8276248,1576559612.2143435
1576559613.4994998,1576559614.2026248
1576579476.800281,1576579477.8354373
1576579481.112781,1576579481.7416873
1576579484.1518435,1576579485.3549685
1576579488.5737185,1576579489.9760623
1576579501.394031,1576579501.9291873
1576564149.5580935,1576564150.8862185
1576564152.612781,1576564153.6166873
1576564156.2026248,1576564156.9760623
1576564157.2299685,1576564158.1010623
1576564161.612781,1576564162.7768435
1576564172.9369998,1576564174.487781
1576566517.9760623,1576566519.144031
1576566519.8744998,1576566520.8432498
1576566521.7416873,1576566522.4526248
1576566527.7338748,1576566528.5307498
1576566532.1401248,1576566533.4057498
1576566545.0580935,1576566546.5541873
1576652423.5073123,1576652424.5893435
1576652425.0776248,1576652425.9643435
1576652428.7338748,1576652430.3705935
1576652431.8823123,1576652433.7260623
1576652435.4135623,1576652436.5932498
1667366195.2537498,1667366196.7693748
1667366201.9568748,1667366202.6834373
1667366204.445156,1667366205.8474998
1667366206.7381248,1667366207.6365623
1667366210.257656,1667366212.2342186
1667366218.2381248,1667366218.804531
1667366220.9685936,1667366221.804531
1576648966.8354373,1576648968.065906
1576648972.019031,1576648973.644031
1576648977.331531,1576648978.847156
1576648981.0619998,1576648982.9448123
1576648985.3198123,1576648986.4135623
1576578550.6791873,1576578552.8354373
1576578554.9174685,1576578555.2182498
1576578556.7182498,1576578557.7651248
1576578560.7494998,1576578561.8666873
1576578566.5893435,1576578567.7768435
1576578571.8666873,1576578573.050281
1658296292.8300314,1658296293.7245626
1576574136.7963748,1576574137.7573123
1576574138.378406,1576574138.487781
1576574138.5112185,1576574139.4955935
1576574142.7651248,1576574144.3237185
1576574151.565906,1576574152.8862185
1576574158.019031,1576574159.2182498
1683282050.3432813,1683282051.1323438
1683282052.605,1683282053.6479688
1683282055.3745313,1683282056.214375
1683282062.5307813,1683282063.4917188
1683282065.339375,1683282065.8667188
1683282067.7807813,1683282068.933125
1683282077.9096875,1683282078.5307813
1576568021.8237185,1576568022.9916873
1576568025.7924685,1576568027.4291873
1576568030.972156,1576568032.487781
1576568036.034656,1576568038.112781
1576574497.6205935,1576574498.5229373
1576574501.722156,1576574502.940906
1576574504.4916873,1576574504.5151248
1576574512.1166873,1576574513.4760623
1576574520.0073123,1576574521.1518435
1576574524.409656,1576574525.5424685
1576570118.081531,1576570119.5112185
1576570123.0307498,1576570124.0737185
1576570131.3198123,1576570132.0151248
1576570135.2885623,1576570136.6010623
1576570139.394031,1576570140.7573123
1576570146.019031,1576570146.565906
1683282325.2690625,1683282326.9057813
1683282338.9526563,1683282339.8745313
1683282340.839375,1683282341.7807813
1658298715.3573751,1658298716.3183126
1658298719.0370626,1658298719.6073751
1658298726.8183126,1658298727.7401876
1658298734.525344,1658298735.009719
1658298740.6112814,1658298741.2050314
1658299979.9394064,1658299980.9511251
1658299984.8144064,1658299985.4589376
1658299988.6151876,1658299988.837844
1658299997.3730001,1658299998.7792501
1658300000.619094,1658300001.587844
1683273560.7573438,1683273561.1128125
1683273579.5815625,1683273580.1596875
1683273587.2417188,1683273587.9917188
1667367454.3748436,1667367455.273281
1667367463.7654686,1667367465.4881248
1667367467.8162498,1667367469.4334373
1667367471.8240623,1667367472.507656
1667367472.9646873,1667367473.6834373
1667367475.8748436,1667367477.0037498
1667367480.5193748,1667367481.1717186
1576570536.8080935,1576570538.394031
1576570541.6713748,1576570542.6518435
1576570549.3979373,1576570550.1635623
1576570551.597156,1576570552.6557498
1576570562.4994998,1576570563.1635623
1576570563.7104373,1576570563.7416873
1576570565.1479373,1576570565.456531
1667370783.4529686,1667370784.2928123
1667370790.8396873,1667370791.6873436
1667370796.5193748,1667370797.820156
1667370803.054531,1667370803.913906
1667370806.960781,1667370807.5506248
1667370810.6404686,1667370812.4490623
1667377391.2849998,1667377391.6521873
1667377400.3162498,1667377401.7068748
1667377402.820156,1667377404.5662498
1667377407.3318748,1667377408.5818748
1667377411.1365623,1667377412.4881248
1658300095.1698751,1658300095.9745626
1658300098.4237814,1658300099.884719
1658300103.2636251,1658300104.2792501
1658300115.915969,1658300116.4042501
1658300120.0800314,1658300121.4980001
1658300121.509719,1658300121.7011251
1667383986.3435936,1667383988.6287498
1667383990.3748436,1667383990.976406
1667383994.1521873,1667383994.195156
1667383996.8865623,1667383998.2303123
1667384001.7615623,1667384003.382656
1667384006.554531,1667384007.429531
1667384008.7654686,1667384009.7498436
1667384010.4842186,1667384011.710781
1576561959.6049685,1576561961.2924685
1576561964.253406,1576561965.1674685
1576561968.4994998,1576561969.3119998
1576561971.628406,1576561972.5112185
1576561976.2651248,1576561977.644031
1576561984.8979373,1576561985.5932498
1667366344.992031,1667366345.601406
1667366348.7068748,1667366351.0935936
1667366351.9881248,1667366353.8904686
1667366360.5037498,1667366361.679531
1667366368.4998436,1667366370.4334373
1576563398.112781,1576563399.0619998
1683273994.7026563,1683273995.589375
1683273997.1479688,1683273998.276875
1683357994.464375,1683357995.526875
1683357996.9409375,1683357997.8276563
1683358008.0659375,1683358008.9448438
1658310655.431594,1658310657.212844
1658310665.9745626,1658310667.4550314
1658310673.509719,1658310673.8925314
1658310675.9198751,1658310676.9862814
1658310680.9823751,1658310681.5292501
1667373077.8943748,1667373078.8904686
1667373079.929531,1667373080.7185936
1667373081.695156,1667373082.7849998
1667373083.976406,1667373085.367031
1667373088.5193748,1667373088.523281
1667373088.7146873,1667373090.5310936
1576569366.7963748,1576569367.8237185
1576569370.269031,1576569370.8432498
1576569371.7338748,1576569372.0424685
1576569375.534656,1576569376.5073123
1576569379.206531,1576569380.8119998
1576569384.6713748,1576569385.6948123
1576580169.2182498,1576580169.8862185
1576580170.9604373,1576580172.1869998
1576580175.2729373,1576580176.769031
1576580179.0385623,1576580180.9174685
1576580184.8823123,1576580186.3041873
1576580189.7299685,1576580190.6362185
1576580196.0580935,1576580196.5932498
1576579962.4604373,1576579963.0932498
1576579967.8041873,1576579968.8276248
1576579971.5893435,1576579973.1166873
1576579974.8705935,1576579976.4213748
1576579977.9330935,1576579979.503406
1576579981.581531,1576579983.1674685
1667371898.8474998,1667371899.8865623
1667371904.2029686,1667371906.4568748
1667371908.7303123,1667371909.8240623
1667371914.6443748,1667371915.179531
1667371917.398281,1667371917.7459373
1667371921.0740623,1667371922.413906
1683358883.6323438,1683358884.4253125
1683358889.4370313,1683358890.1479688
1683358892.7925,1683358894.1089063
1683358896.2534375,1683358897.0815625
1683358899.4565625,1683358900.1440625
1667376334.8162498,1667376335.2068748
1667376335.242031,1667376335.2459373
1667376336.6053123,1667376338.2303123
1667376339.288906,1667376339.9412498
1667376341.8396873,1667376342.8006248
1667376347.976406,1667376348.5506248
1667376351.2185936,1667376351.570156
1667376351.585781,1667376351.788906
1667376354.3123436,1667376354.8435936
1667376361.0037498,1667376362.4842186
1658295954.572219,1658295955.3612814
1658295966.3573751,1658295967.228469
1658295970.1776876,1658295970.384719
1658295981.4120626,1658295982.728469
1667375642.6912498,1667375643.5271873
1667375645.4099998,1667375646.3474998
1667375648.3123436,1667375649.1404686
1667375650.7185936,1667375650.8396873
1667375650.8904686,1667375650.8943748
1667375650.9568748,1667375652.4021873
1667375654.1131248,1667375654.695156
1667375657.4178123,1667375657.9881248
1667375669.4685936,1667375670.1912498
1667375671.398281,1667375672.413906
1667374682.8162498,1667374684.7068748
1667374690.1209373,1667374690.8592186
1667374693.2615623,1667374693.6717186
1667374703.5662498,1667374704.2967186
1667374706.7615623,1667374708.5623436
1667373033.7381248,1667373034.4217186
1667373034.5115623,1667373034.523281
1667373034.648281,1667373035.2967186
1667373038.3474998,1667373039.4099998
1667373040.2498436,1667373040.9724998
1667373061.5506248,1667373062.4881248
1683347439.3432813,1683347440.0073438
1683347448.1792188,1683347448.9448438
1683258922.1010938,1683258922.7925
1683258926.4760938,1683258926.5425
1683258935.4760938,1683258936.5971875
1683258938.1128125,1683258939.2260938
1683258939.8823438,1683258939.9409375
1658298899.3456564,1658298900.1386251
1658298911.962844,1658298912.5175314
1658298914.9042501,1658298915.2362814
1658298916.0644064,1658298916.8769064
1658298919.8730001,1658298921.4237814
1683363654.4096875,1683363654.9370313
1683363658.2885938,1683363658.776875
1683363666.214375,1683363667.0307813
1658302226.556594,1658302226.7948751
1658302231.1151876,1658302231.8183126
1658302231.9120626,1658302232.0331564
1658302234.9745626,1658302235.9120626
1658302247.8886251,1658302248.837844
1667384495.8474998,1667384497.6131248
1667384499.6873436,1667384501.1834373
1667384503.7615623,1667384504.773281
1667384505.4998436,1667384505.5349998
1667384509.2068748,1667384510.4685936
1667384512.8162498,1667384513.5584373
1667384513.7146873,1667384513.913906
1667384513.9256248,1667384514.3904686
1667384518.4881248,1667384519.2498436
1658309701.0917501,1658309701.9862814
1658309705.712844,1658309706.275344
1658309716.1894064,1658309716.962844
1658309720.5800314,1658309721.6073751
1683259855.683125,1683259856.526875
1683259859.058125,1683259859.964375
1658323586.0214376,1658323587.134719
1658323603.6112814,1658323604.7636251
1658323606.8456564,1658323608.8183126
1658323610.7167501,1658323611.7089376
1658323612.494094,1658323612.7792501
1576562888.6205935,1576562889.5737185
1576562889.7182498,1576562889.815906
1576562893.394031,1576562894.2026248
1576562896.8823123,1576562897.9213748
1576562907.7963748,1576562908.2026248
1576562910.9643435,1576562912.597156
1576562915.190906,1576562916.081531
1658307867.8105001,1658307868.556594
1658307887.3456564,1658307889.3456564
1576573872.7729373,1576573873.690906
1576573875.8823123,1576573876.4916873
1576573879.7885623,1576573881.1674685
1576573886.4643435,1576573887.4682498
1576573890.8198123,1576573892.5619998
1576573895.2494998,1576573896.4760623
1576566458.3549685,1576566458.581531
1576566461.8198123,1576566463.425281
1576566464.7768435,1576566465.5463748
1576566470.0619998,1576566471.4369998
1576566472.3393435,1576566473.2338748
1576566473.6948123,1576566474.9799685
1576566475.7651248,1576566476.440906
1576566478.5073123,1576566479.9448123
1667372373.2381248,1667372373.2459373
1667372375.9373436,1667372377.7029686
1667372378.710781,1667372379.9685936
1667372380.7693748,1667372381.4217186
1667372381.5974998,1667372382.3904686
1667372383.663906,1667372384.8904686
1667372384.9060936,1667372384.9412498
1667372387.6404686,1667372388.9685936
1667372392.0974998,1667372393.163906
1667372393.8709373,1667372394.8553123
1667372398.1990623,1667372398.9490623
1683280292.6010938,1683280293.32375
1683280299.4839063,1683280300.464375
1658297203.1269064,1658297203.619094
1576566279.6323123,1576566280.6557498
1576566282.6948123,1576566284.2026248
1576566286.2338748,1576566287.753406
1576566290.440906,1576566291.0268435
1576566293.440906,1576566294.3432498
1576566295.7143435,1576566296.3823123
1576566298.5619998,1576566299.8080935
1658314793.494094,1658314793.9042501
1658314797.6620626,1658314798.337844
1658314800.8808126,1658314802.337844
1658314804.1542501,1658314804.7480001
1658314806.3730001,1658314807.4589376
1658314809.4550314,1658314811.3300314
1658314813.2714376,1658314813.8612814
1667383625.1834373,1667383626.632656
1667383630.445156,1667383631.5740623
1667383631.7537498,1667383633.3279686
1667383635.804531,1667383636.9685936
1667383639.8162498,1667383640.5115623
1667383641.9959373,1667383642.5740623
1667383644.913906,1667383646.085781
1667383650.1287498,1667383651.242031
1667375733.8123436,1667375734.6209373
1667375736.6443748,1667375738.0115623
1667375740.7654686,1667375742.3006248
1667375747.8904686,1667375749.1443748
