,metric,included_groups,p_value,significant,better
0,det_f1_f_measure,separate_bottleneck_detection_only,0.9698499769931556,False,
1,det_f1_f_measure,shared_bottleneck_detection_only,0.47267559351158717,False,
2,det_f1_f_measure,shared_bottleneck_separate_bottleneck,0.27303633975118835,False,
3,seg_iou_jaccard_index,separate_bottleneck_detection_only,0.0022022199424970783,True,separate_bottleneck
4,seg_iou_jaccard_index,shared_bottleneck_detection_only,0.0010079762403767444,True,shared_bottleneck
5,seg_iou_jaccard_index,shared_bottleneck_separate_bottleneck,0.27303633975118835,False,
6,det_auc_ap_average_precision,separate_bottleneck_detection_only,0.009108496398030963,True,separate_bottleneck
7,det_auc_ap_average_precision,shared_bottleneck_detection_only,0.06402210128302689,False,
8,det_auc_ap_average_precision,shared_bottleneck_separate_bottleneck,0.4273553138978077,False,
9,seg_auc_ap_average_precision,separate_bottleneck_detection_only,0.00018267179110955002,True,separate_bottleneck
10,seg_auc_ap_average_precision,shared_bottleneck_detection_only,0.00018267179110955002,True,shared_bottleneck
11,seg_auc_ap_average_precision,shared_bottleneck_separate_bottleneck,0.0211339281291611,True,separate_bottleneck
